itemId,shopId,title,brand,cat_id,models_count,is_pre_order,price_min_twd,price_max_twd,price_mid_twd,discount_pct,shipping_fee_min_twd,is_free_shipping,is_service_by_shopee,rating_avg,rating_count,comment_count,liked_count,is_official_shop,shop_name,shop_location,shop_rating,shop_follower_count,shop_item_count,shop_response_rate,shop_response_time,is_shopee_verified,price_bucket,discount_band,rating_tier,engagement_tier,review_bucket
46160020687,1382795337,新款灰色短袖t恤女2026夏季新款設計感小眾美式寬鬆百搭短袖上衣潮5.6,Unknown,100017,15,false,128.0,254.0,191.0,0.0,4500000.0,false,false,0.0,0,0,0,false,benyishi74cf.tw,海外,5.0,0,445,57.0,0,false,2. TWD 100-499,1. No Discount,3. Few Reviews,4. Low Engagement,1. No Reviews
46160048237,807534985,創意入油海洋動物貝殼鑰匙扣 可愛海豚鯨魚亞克力液體鑰匙扣 汽車鑰匙吊飾 書包吊飾 節日小禮品,Unknown,100639,5,false,42.0,42.0,42.0,50.0,-1.0,false,false,0.0,0,0,0,false,萬森潮玩娛樂館,海外,4.973677158355713,3727,513,95.0,4207,false,1. Under TWD 100,6. 50%+,3. Few Reviews,4. Low Engagement,1. No Reviews
46160102948,1808151201,Lolita蕾絲可愛甜美蝴蝶結髮飾花邊髮箍少女頭飾蘿莉塔公主風/5.7,Unknown,100009,1,false,191.0,191.0,191.0,30.0,-1.0,false,false,0.0,0,0,0,false,1hamigua,海外,,0,412,57.0,0,false,2. TWD 100-499,5. 30-49%,3. Few Reviews,4. Low Engagement,1. No Reviews
46160187428,538261933,【新品上新】適配浦桑尼克P8/P9無線吸塵器除蟎儀 配件濾芯濾棉過濾網海帕🔥🔥🔥🔥,Unknown,100010,4,true,381.0,660.0,520.5,50.0,-1.0,false,false,0.0,0,0,0,false,潮耐優選旗艦店｜主營 高品質好物丨台灣優質賣家丨完美售後服務丨,桃園市蘆竹區,4.881600856781006,206,4799,85.0,7754,false,3. TWD 500-999,6. 50%+,3. Few Reviews,4. Low Engagement,1. No Reviews
46160192461,8086694,大尺碼西裝褲 喇叭褲 冰絲長褲 闊腿褲 夏季薄款冰絲闊腿褲女高腰垂感顯瘦側面拉鏈夏季涼涼微喇叭西裝褲,Unknown,100017,20,true,420.0,420.0,420.0,53.0,-1.0,false,false,0.0,0,0,0,false,甜柚少女(全賣場不含運滿$159出貨）,屏東縣萬丹鄉,5.0,17,2963,70.0,13059,false,2. TWD 100-499,6. 50%+,3. Few Reviews,4. Low Engagement,1. No Reviews
46160258174,3283010,高顏值書包初中女生大學生燈芯絨小衆設計雙肩包草莓少女百搭揹包,Unknown,100016,3,true,259.0,274.0,266.5,51.0,-1.0,false,false,0.0,0,0,0,false,日和小鋪☀️,,5.0,14,1453,64.0,7647,false,2. TWD 100-499,6. 50%+,3. Few Reviews,4. Low Engagement,1. No Reviews
46160295614,1037687436,【博雅堂】赤腳遺方+赤腳土方,Unknown,100643,9,true,145.0,645.0,395.0,0.0,-1.0,false,false,0.0,0,0,0,false,博雅堂-只賣正品,臺中市潭子區,4.930388927459717,5446,2514,90.0,11644,false,2. TWD 100-499,1. No Discount,3. Few Reviews,4. Low Engagement,1. No Reviews
46203285298,24253642,💎金福源珠寶💎新款精緻s925耳環女鑲鑽氣質時尚耳飾輕奢高級感小衆素圈耳墜,Unknown,100009,1,false,151.0,151.0,151.0,22.0,-1.0,false,false,0.0,0,0,0,false,💎金福源金銀珠寶💎,桃園市蘆竹區,4.71091890335083,605,4158,66.0,12983,false,2. TWD 100-499,4. 20-29%,3. Few Reviews,4. Low Engagement,1. No Reviews
46205791216,16882907,義美咖啡泡芙（一盒3入）/草莓泡芙（一盒3入）/巧克力泡芙（一盒3入）/牛奶泡芙（一盒3入）／藍莓泡芙（一盒3入）,Unknown,100629,5,false,119.0,139.0,129.0,0.0,-1.0,false,false,5.0,15,15,5,false,Sun Ba無限,嘉義市東區,4.9816060066223145,2152,301,80.0,4620,false,2. TWD 100-499,1. No Discount,4. Average,4. Low Engagement,3. 5-19
46207166759,1295992763,🎀 囍･滋滋 🎀  時尚 氣質 套裝裙女 夏季 新款 甜美 無袖 襯衫 搭配 修身 長裙 兩件套 高級感,Unknown,100017,20,false,633.0,1014.0,823.5,48.0,-1.0,false,false,0.0,0,0,0,false,🎀 囍･滋滋 🎀,桃園市蘆竹區,4.842034816741943,718,4538,89.0,4938,false,3. TWD 500-999,5. 30-49%,3. Few Reviews,4. Low Engagement,1. No Reviews
46207438804,1474774804,林內Rinnai 90公分 倒T式按壓滑轉設計排油煙機 RH-T9200A,Rinnai 林內,100010,1,true,18300.0,18300.0,18300.0,0.0,0.0,false,false,0.0,0,0,0,true,南紡購物中心,臺南市東區,4.968617916107178,3470,41844,56.0,9595,false,"6. TWD 10,000+",1. No Discount,3. Few Reviews,4. Low Engagement,1. No Reviews
46207460310,1625126313,擼貓手套貓咪去浮毛寵物脫毛刷狗狗洗澡按摩梳子矽膠除毛寵物用品,Unknown,100631,5,false,236.0,250.0,243.0,0.0,-1.0,false,false,0.0,0,0,0,false,毛孩良物所,海外,5.0,5,10,57.0,0,false,2. TWD 100-499,1. No Discount,3. Few Reviews,4. Low Engagement,1. No Reviews
46208183938,11205571,HODA Samsung S26 晶石殼 S26 Ultra 玻璃手機殼 S26+ 透明手機殼 三星 S26U 磁吸殼,hoda 好貼,100013,5,false,1190.0,1190.0,1190.0,5.0,-1.0,false,false,0.0,0,0,2,false,【棒殼 Bunker】3C手機配件生活館,臺中市北屯區,4.965156078338623,3737,75,100.0,3456,false,"4. TWD 1,000-2,999",2. 1-9%,3. Few Reviews,4. Low Engagement,1. No Reviews
46209028847,1767135620,"[MISSHA] Super Aqua 超玻尿酸啫喱霜,70ml/亮白/舒緩/補水/抗皺",MISSHA,100630,2,false,655.0,1317.0,986.0,58.0,-1.0,false,false,0.0,0,0,0,false,Dermaskin.TW,海外,,0,407,57.0,0,false,3. TWD 500-999,6. 50%+,3. Few Reviews,4. Low Engagement,1. No Reviews
46209030189,1229726240,全新現貨 ｜UCC｜職人珈琲-咖啡濃縮球14gx8入/包(無糖),ucc,100629,1,false,89.0,89.0,89.0,0.0,-1.0,false,false,0.0,0,0,3,false,bobo6e74o7_,,4.92307710647583,41,105,50.0,17142,false,1. Under TWD 100,1. No Discount,3. Few Reviews,4. Low Engagement,1. No Reviews
46209365733,1797354929,🧡新開幕低價衝評價🧡霓淨思積雪草B5舒敏修護化妝水/舒敏修護精華l/舒敏修護凝乳/ 舒敏修護乳霜/水潤身體乳,Neogence 霓淨思,100630,5,false,349.0,519.0,434.0,5.0,-1.0,false,false,5.0,1,1,0,false,粉玫瑰小舖,,5.0,1,9,100.0,2191,false,2. TWD 100-499,2. 1-9%,3. Few Reviews,4. Low Engagement,2. 1-4
46209718874,1797482454,304不鏽鋼筷子套裝高檔家用 防滑銀鐵快子耐高溫防黴餐具一人一筷,Unknown,100636,2,true,280.0,364.0,322.0,0.0,-1.0,false,false,0.0,0,0,0,false,AiyuejiaKi852,海外,,0,93,57.0,0,false,2. TWD 100-499,1. No Discount,3. Few Reviews,4. Low Engagement,1. No Reviews
46209909996,1804064307,筆訓練初學者入門行書,Unknown,100638,19,false,223.0,585.0,404.0,2.0,0.0,false,false,0.0,0,0,0,false,melvin1011,海外,,0,487,57.0,0,false,2. TWD 100-499,2. 1-9%,3. Few Reviews,4. Low Engagement,1. No Reviews
46210103371,152812267,臺灣現貨✨M8家用遊戲機 電視遊戲機 流暢不卡頓 月光寶盒 4K家用遊戲機 街機遊戲機 雙人經典遊戲機 懷舊電視遊戲機,Unknown,100634,1,false,528.0,528.0,528.0,76.0,-1.0,false,false,0.0,0,0,0,false,智選優品旗艦店,桃園市蘆竹區,4.8144330978393555,56,198,100.0,6599,false,3. TWD 500-999,6. 50%+,3. Few Reviews,4. Low Engagement,1. No Reviews
46210174861,5358865,日韓熱銷 項鏈 項鍊 鎖骨鏈💖小眾設計感波浪紋項鏈女夏簡約百搭鎖骨鏈新款ins風項圈頸鏈,Unknown,100009,1,true,48.0,48.0,48.0,0.0,-1.0,false,false,0.0,0,0,0,false,Weird fish,高雄市仁武區,4.867476940155029,5234,4967,97.0,6548,false,1. Under TWD 100,1. No Discount,3. Few Reviews,4. Low Engagement,1. No Reviews
46210336798,1092976521,空氣滾梳子大卷梳子鋁合金吹風捲發波波頭造型美髮梳圓筒鬃毛4件,Unknown,100630,4,true,191.0,324.0,257.5,0.0,-1.0,false,false,0.0,0,0,0,false,買裝轉移 請搜   妮妮優選百貨店《桃園出貨》,桃園市蘆竹區,4.884974002838135,365,1242,97.0,6148,false,2. TWD 100-499,1. No Discount,3. Few Reviews,4. Low Engagement,1. No Reviews
46251737643,70373541,南慶五金 含稅 LENOX 雙金屬帶鋸條 1130MM 1140MM 每盒5條 1330MM 每盒2條,LENOX,100636,11,false,1100.0,1400.0,1250.0,0.0,-1.0,false,false,5.0,2,2,0,false,南慶五金商行,臺南市佳里區,4.982954025268555,3038,2049,48.0,12254,false,"4. TWD 1,000-2,999",1. No Discount,3. Few Reviews,4. Low Engagement,2. 1-4
46253235241,25236032,⭐️快速出貨⭐百利世 扳手王 雙頭及輪扳手 卡哩卡哩 搖頭扳手 棘輪梅開扳手,PANRiCO 百利世,100636,3,false,300.0,345.0,322.5,0.0,-1.0,false,false,5.0,2,2,0,false,冷氣材料 冷氣空調材料 女生也可以很專業,彰化縣員林市,4.961504936218262,12808,605,80.0,6686,true,2. TWD 100-499,1. No Discount,3. Few Reviews,4. Low Engagement,2. 1-4
46253245953,35690362,好市多COSTCO 一吉膳 銀耳紅棗美人飲(一盒300公克X5入),Unknown,100629,1,false,400.0,400.0,400.0,0.0,-1.0,false,false,4.5,2,2,2,false,急老闆媽祖小物-好市多省很多,新北市中和區,4.975232124328613,157,67,98.0,1213,false,2. TWD 100-499,1. No Discount,3. Few Reviews,4. Low Engagement,2. 1-4
46253536106,393203,好市多代購，湖池屋 酸叭姆久平切洋芋片 清爽梅子口味 550 公克,湖池屋,100629,1,false,260.0,260.0,260.0,0.0,-1.0,false,false,5.0,1,1,3,false,小希生活百貨商行,臺中市北屯區,4.973318099975586,1684,758,99.0,1698,false,2. TWD 100-499,1. No Discount,3. Few Reviews,4. Low Engagement,2. 1-4
46256733741,1689637702,透明亞克力水杯架多層可疊加置物架水瓶家用桌面保溫杯架紅酒架,Unknown,100636,3,false,115.0,158.0,136.5,0.0,-1.0,false,false,0.0,0,0,0,false,uopkonn7,海外,,0,88,57.0,0,false,2. TWD 100-499,1. No Discount,3. Few Reviews,4. Low Engagement,1. No Reviews
46257092413,1681338739,【免運含稅】歐式防滑墊 浴室防水地墊 防摔加厚腳墊 沐浴適用 淋浴房適用墊 浴缸適用墊 酒店廁所適用 衛浴止滑墊,Unknown,100636,20,false,860.0,2075.0,1467.5,11.0,0.0,false,false,0.0,0,0,0,false,【有家店生活家居館】全館9.2折+售後無憂,新竹縣竹北市,4.8627448081970215,121,3250,100.0,2099,false,"4. TWD 1,000-2,999",3. 10-19%,3. Few Reviews,4. Low Engagement,1. No Reviews
46257125696,182464929,POLYWELL 公對公 編織充電線 Type-A公對Micro-B 傳輸線 5Gbps 充電線 USB3.0 外接硬碟,POLYWELL,100013,2,false,80.0,120.0,100.0,53.0,-1.0,false,false,0.0,0,0,0,false,匠人造家_收納盒 拖鞋 地墊 燈 香氛 文具,,4.91674280166626,8753,1975,90.0,15679,true,2. TWD 100-499,6. 50%+,3. Few Reviews,4. Low Engagement,1. No Reviews
46258472478,17818745,【Gigastone】MP-5000ALM 口袋型快充行動電源 奶茶色,Unknown,100013,1,false,549.0,549.0,549.0,0.0,0.0,false,false,0.0,0,0,0,true,三井3C購物網,新北市三重區,4.963733196258545,12872,2143,60.0,8784,false,3. TWD 500-999,1. No Discount,3. Few Reviews,4. Low Engagement,1. No Reviews
46258517136,1744653813,⏳限時低價⏳免運刷子 長毛刷 車內清潔毛刷 清潔毛刷 縫隙清潔刷 凹槽刷 戶凹槽清潔刷 居家清潔 毛刷 清潔刷 長毛刷,Unknown,100636,2,true,95.0,181.0,138.0,52.0,-1.0,false,false,0.0,0,0,0,false,澤洋優選百貨,桃園市蘆竹區,5.0,10,1266,89.0,11512,false,2. TWD 100-499,6. 50%+,3. Few Reviews,4. Low Engagement,1. No Reviews
46258735875,920407845,【1313桌遊小舖】屁者先知 狗吠火車 出清優惠 售完為止 正版、全新桌遊,Unknown,100639,1,false,470.0,470.0,470.0,0.0,-1.0,false,false,0.0,0,0,0,false,t0eiajsize,臺中市南屯區,4.956284046173096,57,531,50.0,17683,false,2. TWD 100-499,1. No Discount,3. Few Reviews,4. Low Engagement,1. No Reviews
46258875987,1055614986,【哆哆購】TPE引體向上練翹臀彈力帶 健身瑜伽美臀圈負重拉力圈普拉提阻力帶,Unknown,100637,16,true,85.0,316.0,200.5,0.0,-1.0,false,false,0.0,0,0,0,false,哆哆購戶外用品（2館）,臺北市北投區,4.938878059387207,1639,4958,99.0,3751,false,2. TWD 100-499,1. No Discount,3. Few Reviews,4. Low Engagement,1. No Reviews
46259021407,1291170824,Body Goals 順纖窈窕酵素 (60顆/罐）純素可食 白腎豆 藤黃果 66種蔬果酵素 ENZYME,BODY GOALS,100001,1,false,850.0,850.0,850.0,0.0,-1.0,false,false,0.0,0,0,0,false,小咪百貨 只賣公司貨,臺北市中山區,4.943583965301514,182,252,91.0,7843,false,3. TWD 500-999,1. No Discount,3. Few Reviews,4. Low Engagement,1. No Reviews
46259025057,182227533,照蛋器 孵化專用 照蛋燈 LED冷光照蛋器 強光照蛋器 手電筒 驗蛋器 孵化設備 鸚鵡 鴿子 鵝蛋 鴨蛋 雞蛋 不傷蛋,Unknown,100631,5,true,140.0,193.0,166.5,50.0,-1.0,false,false,0.0,0,0,0,false,寵物ㄟ百寶箱,桃園市蘆竹區,4.929101943969727,347,298,93.0,7026,true,2. TWD 100-499,6. 50%+,3. Few Reviews,4. Low Engagement,1. No Reviews
46259065956,182227533,寵物紋身衣 89兄弟風 貓狗通用 搞怪刺青衣 寵物四腳衣 寵物創意個性衣服 四季通用寵物衣 寵物衣服 狗狗衣服 貓衣服,Unknown,100631,12,true,426.0,800.0,613.0,3.0,-1.0,false,false,0.0,0,0,0,false,寵物ㄟ百寶箱,桃園市蘆竹區,4.929101943969727,347,298,93.0,7026,true,3. TWD 500-999,2. 1-9%,3. Few Reviews,4. Low Engagement,1. No Reviews
46259123471,4526217,德國 Hape 洗澡玩具 花式噴泉水槍 戲水玩具 花式水槍✪準媽媽婦嬰用品✪,Hape,100632,1,false,295.0,295.0,295.0,0.0,-1.0,false,false,0.0,0,0,0,false,準媽媽婦嬰用品,臺南市北區,4.972036838531494,6530,1765,65.0,12198,false,2. TWD 100-499,1. No Discount,3. Few Reviews,4. Low Engagement,1. No Reviews
