shopId,shopName,shop_location,shop_rating,shop_response_rate,shop_response_time,shop_follower_count,shop_item_count,shop_rating_good,shop_rating_normal,shop_rating_bad,is_official_shop,is_shopee_verified,positive_rating_pct,response_time_bucket,listing_count,avg_price_twd,avg_discount_pct,avg_product_rating,total_ratings,total_comments,total_likes,free_shipping_count,discounted_count,shopee_fulfilled_count,avg_models_count,free_shipping_rate,discount_rate,shopee_fulfilled_rate,total_engagement_score,shop_tier,follower_tier
1509841709,"好康優選生活館#品質保障#全場免運",桃園市蘆竹區,4.898162841796875,98.0,5195,453,4710,2537,55,10,false,false,97.5,2. 1-6 hours,1,115.0,0.0,0.0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,3. Established,3. 100-999
1510184372,GeminiStarShop.tw,海外,4.988505840301514,100.0,10380,66,939,177,0,0,false,false,100.0,2. 1-6 hours,1,8888.0,0.0,5.0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,1,3. Established,4. < 100
1510247947,好運來平價百貨店,海外,4.938776016235352,31.0,25538,135,374,249,0,2,false,false,99.2,3. 6-24 hours,1,3548.0,2.0,0.0,0,0,0,0,1,0,7.0,0.0,100.0,0.0,0,3. Established,3. 100-999
1510345875,兆銓國際商城,嘉義縣新港鄉,4.931990146636963,97.0,8205,1043,96,4729,53,5,false,true,98.79,2. 1-6 hours,1,200.0,50.0,5.0,2,2,0,0,1,0,7.0,0.0,100.0,0.0,4,2. Power Seller,"2. 1,000-9.999"
1510709411,🚥三車精益商社🚚 -,桃園市大園區,4.871450901031494,90.0,12691,277,3969,3172,76,24,false,false,96.94,2. 1-6 hours,2,245.5,20.5,0.0,0,0,0,0,2,0,9.5,0.0,100.0,0.0,0,3. Established,3. 100-999
1510867725,savvystylinstorea9.tw,海外,,57.0,0,0,231,0,0,0,false,false,,1. Under 1 hour,1,307.0,0.0,0.0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0,4. General,4. < 100
1510870466,ghunilosblancosqm.tw,海外,,57.0,0,0,24,0,0,0,false,false,,1. Under 1 hour,1,414.0,0.0,5.0,2,0,0,0,0,0,11.0,0.0,0.0,0.0,2,4. General,4. < 100
1510871509,kitarounderwearsl0.tw,海外,,57.0,0,0,36,0,0,0,false,false,,1. Under 1 hour,1,148.0,0.0,5.0,3,0,0,0,0,0,1.0,0.0,0.0,0.0,3,4. General,4. < 100
1510871556,gharyshopud.tw,海外,,57.0,0,0,26,0,0,0,false,false,,1. Under 1 hour,1,468.0,0.0,5.0,5,0,0,0,0,0,2.0,0.0,0.0,0.0,5,4. General,4. < 100
1510871960,kangmiepu0.tw,海外,,57.0,0,0,552,0,0,0,false,false,,1. Under 1 hour,1,95.0,0.0,4.83,6,0,0,0,0,0,1.0,0.0,0.0,0.0,6,4. General,4. < 100
